question,article_number,article_orig,index
ما هو الاسم الذي يطلق على النظام الذي يحكم بيئة العمل في السعودية؟,1,يسمى هذا النظام نظام العمل.,1
كيف يُعرف النظام الذي ينظم العلاقة بين العامل وصاحب العمل في السعودية؟,1,يسمى هذا النظام نظام العمل.,1
ما هو النظام الذي يتبعه العاملون وأصحاب العمل في السعودية وفقًا للمادة الأولى؟,1,يسمى هذا النظام نظام العمل.,1
كيف تُعرَّف مجموعة القوانين التي تنظم عقود العاملين بالسعودية؟,1,يسمى هذا النظام نظام العمل.,1
ما الاسم الرسمي للنظام الذي ينظّم قوانين العمل وعلاقات العمالة في المملكة؟,1,يسمى هذا النظام نظام العمل.,1
ما المقصود بمصطلح 'الوزارة' في نظام العمل السعودي؟,2,"1 
 
يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك:  

-الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية.  

-الوزير: وزير الموارد البشرية والتنمية الاجتماعية.  

-مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. 

-صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. 

-العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. 

-الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. 

-العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل )مكتوب أو غير مكتوب( بصرف النظر عن طبيعتها أو نوعها، 

صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. 

-العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها 
والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. 

-العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل 
بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. 

-العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. 

-العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. 

-العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية 
المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. 

-الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة 
مستمرة في الحالات الآتية:  

 

1- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/ 134 ( وﺗﺎرﻳﺦ 27 / 11 / 1440 ﻫـ، وﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ . 
 

 
2 

1.الإجازات والعطل المقررة نظاماً. 

2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 

3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. 

-الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. 

-الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل 
بها. 

-الأجر الأساسـي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً 
إليه العلاوات الدورية. 

-الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض 
لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك:  

1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما 
يحققه من زيادة الإنتاج أو تحسينه. 

2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 

3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 

4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة 
أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 

5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. 
وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. 

-الأجر: الأجر الفعلي. 

-المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. 

-الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. 

-اللائحة: اللائحة التنفيذية لهذا النظام. 

 

 

 

 

 
 
 
 
 
 

 
3",2
كيف يُعرّف قانون العمل السعودي مصطلح 'صاحب العمل'؟,2,"1 
 
يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك:  

-الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية.  

-الوزير: وزير الموارد البشرية والتنمية الاجتماعية.  

-مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. 

-صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. 

-العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. 

-الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. 

-العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل )مكتوب أو غير مكتوب( بصرف النظر عن طبيعتها أو نوعها، 

صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. 

-العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها 
والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. 

-العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل 
بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. 

-العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. 

-العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. 

-العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية 
المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. 

-الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة 
مستمرة في الحالات الآتية:  

 

1- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/ 134 ( وﺗﺎرﻳﺦ 27 / 11 / 1440 ﻫـ، وﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ . 
 

 
2 

1.الإجازات والعطل المقررة نظاماً. 

2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 

3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. 

-الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. 

-الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل 
بها. 

-الأجر الأساسـي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً 
إليه العلاوات الدورية. 

-الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض 
لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك:  

1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما 
يحققه من زيادة الإنتاج أو تحسينه. 

2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 

3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 

4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة 
أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 

5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. 
وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. 

-الأجر: الأجر الفعلي. 

-المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. 

-الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. 

-اللائحة: اللائحة التنفيذية لهذا النظام. 

 

 

 

 

 
 
 
 
 
 

 
3",2
ما الفارق بين 'الأجر الأساسي' و'الأجر الفعلي' في المادة الثانية من النظام؟,2,"1 
 
يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك:  

-الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية.  

-الوزير: وزير الموارد البشرية والتنمية الاجتماعية.  

-مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. 

-صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. 

-العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. 

-الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. 

-العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل )مكتوب أو غير مكتوب( بصرف النظر عن طبيعتها أو نوعها، 

صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. 

-العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها 
والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. 

-العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل 
بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. 

-العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. 

-العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. 

-العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية 
المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. 

-الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة 
مستمرة في الحالات الآتية:  

 

1- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/ 134 ( وﺗﺎرﻳﺦ 27 / 11 / 1440 ﻫـ، وﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ . 
 

 
2 

1.الإجازات والعطل المقررة نظاماً. 

2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 

3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. 

-الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. 

-الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل 
بها. 

-الأجر الأساسـي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً 
إليه العلاوات الدورية. 

-الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض 
لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك:  

1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما 
يحققه من زيادة الإنتاج أو تحسينه. 

2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 

3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 

4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة 
أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 

5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. 
وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. 

-الأجر: الأجر الفعلي. 

-المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. 

-الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. 

-اللائحة: اللائحة التنفيذية لهذا النظام. 

 

 

 

 

 
 
 
 
 
 

 
3",2
ما هي الحالات التي تعتبر فيها خدمة العامل مستمرة وفق المادة الثانية من هذا النظام؟,2,"1 
 
يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك:  

-الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية.  

-الوزير: وزير الموارد البشرية والتنمية الاجتماعية.  

-مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. 

-صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. 

-العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. 

-الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. 

-العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل )مكتوب أو غير مكتوب( بصرف النظر عن طبيعتها أو نوعها، 

صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. 

-العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها 
والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. 

-العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل 
بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. 

-العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. 

-العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. 

-العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية 
المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. 

-الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة 
مستمرة في الحالات الآتية:  

 

1- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/ 134 ( وﺗﺎرﻳﺦ 27 / 11 / 1440 ﻫـ، وﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ . 
 

 
2 

1.الإجازات والعطل المقررة نظاماً. 

2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 

3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. 

-الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. 

-الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل 
بها. 

-الأجر الأساسـي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً 
إليه العلاوات الدورية. 

-الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض 
لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك:  

1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما 
يحققه من زيادة الإنتاج أو تحسينه. 

2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 

3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 

4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة 
أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 

5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. 
وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. 

-الأجر: الأجر الفعلي. 

-المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. 

-الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. 

-اللائحة: اللائحة التنفيذية لهذا النظام. 

 

 

 

 

 
 
 
 
 
 

 
3",2
كيف يعرّف النظام العمل المؤقت وما المدة القصوى لإتمامه بحسب المادة الثانية؟,2,"1 
 
يقصد بالألفاظ والعبارات الآتية – أينما وردت في هذا النظام – المعاني المبينة أمامها ما لم يقتض السياق خلاف ذلك:  

-الوزارة: وزارة الموارد البشرية والتنمية الاجتماعية.  

-الوزير: وزير الموارد البشرية والتنمية الاجتماعية.  

-مكتب العمل: الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير. 

-صاحب العمل: كل شخص طبيعي أو اعتباري يشغّل عاملاً أو أكثر مقابل أجر. 

-العامل: كل شخص طبيعي –ذكراً أو أنثى- يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته. 

-الحدث: الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة. 

-العمل: الجهد المبذول في النشاطات الإنسانية كافة، تنفيذاً لعقد عمل )مكتوب أو غير مكتوب( بصرف النظر عن طبيعتها أو نوعها، 

صناعية كانت أو تجارية، أو زراعية أو فنية، أو غيرها، عضلية كانت أو ذهنية. 

-العمل الأصلي: بالنسبة للأفراد: موضوع نشاطهم المعتاد، وبالنسبة للمنشآت: الأعمال التي أنشئت المنشأة من أجل القيام بها 
والمنصوص عليها في عقد تأسيسها أو في عقد الامتياز – إن كانت من شركات الامتياز – أو في السجل التجاري. 

-العمل المؤقت: العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعة إنجازه مدة محددة، أو ينصب على عمل 
بذاته وينتهي بانتهائه، ولا يتجاوز في الحالتين تسعين يوماً. 

-العمل العرضي: العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل في نشاطه المعتاد، ولا يستغرق تنفيذه أكثر من تسعين يوماً. 

-العمل الموسمي: العمل الذي يتم في مواسم دورية متعارف عليها. 

-العمل لبعض الوقت: العمل الذي يؤديه عامل غير متفرغ لدى صاحب عمل ولساعات عمل تقل عن نصف ساعات العمل اليومية 
المعتادة لدى المنشأة، سواء كان هذا العامل يؤدي ساعات عمله يومياً أو بعض أيام الأسبوع. 

-الخدمة المستمرة: خدمة العامل غير المنقطعة مع صاحب العمل نفسه أو خلفه النظامي، من تاريخ ابتداء الخدمة. وتعد الخدمة 
مستمرة في الحالات الآتية:  

 

1- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/ 134 ( وﺗﺎرﻳﺦ 27 / 11 / 1440 ﻫـ، وﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ . 
 

 
2 

1.الإجازات والعطل المقررة نظاماً. 

2.فترة الانقطاع لأداء الامتحانات وفقاً لما هو منصوص عليه في هذا النظام. 

3.حالات غياب العامل عن عمله بدون أجر التي لا تزيد مدتها على عشرين يوماً متقطعة خلال سنة العمل. 

-الإسناد: خدمة توفير عامل للعمل لدى غير صاحب العمل وذلك من خلال منشأة مرخص لها لهذا الغرض. 

-الاستقالة: إفصاح العامل كتابة عن رغبته دون إكراه في إنهاء عقد عمل محدد المدة دون تعليق على قيد أو شرط، وقبول صاحب العمل 
بها. 

-الأجر الأساسـي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافاً 
إليه العلاوات الدورية. 

-الأجر الفعلي: الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة الأخرى التي تتقرر للعامل مقابل جهد بذله في العمل، أو مخاطر يتعرض 
لها في أداء عمله، أو التي تتقرر للعامل لقاء العمل بموجب عقد العمل أو لائحة تنظيم العمل. ومن ذلك:  

1- العمولة، أو النسبة المئوية من المبيعات، أو النسبة المئوية من الأرباح، التي تدفع مقابل ما يقوم بتسويقه، أو إنتاجه، أو تحصيله، أو ما 
يحققه من زيادة الإنتاج أو تحسينه. 

2- البدلات التي يستحقها العامل لقاء طاقة يبذلها، أو مخاطر يتعرض لها في أداء عمله. 

3- الزيادات التي قد تمنح وفقاً لمستوى المعيشة، أو لمواجهة أعباء العائلة. 

4- المنحة أو المكافأة: هي التي يعطيها صاحب العمل للعامل، وما يصرف له جزاء أمانته، أو كفايته، وما شابه ذلك، إذا كانت هذه المنحة 
أو المكافأة مقررة في عقد العمل، أو لائحة تنظيم العمل للمنشأة، أو جرت العادة بمنحها، حتى أصبح العمال يعدونها جزءاً من الأجر لا تبرعاً. 

5- الميزات العينية: هي التي يلتزم صاحب العمل بتوفيرها للعامل مقابل عمله، بالنص عليها في عقد العمل أو في لائحة تنظيم العمل. 
وتقدر بحد أقصى يعادل الأجر الأساسي لمدة شهرين عن كل سنة ما لم تقدر في عقد العمل أو لائحة تنظيم العمل بما يزيد على ذلك. 

-الأجر: الأجر الفعلي. 

-المنشأة: كل مشروع يديره شخص طبيعي، أو اعتباري، يشغًل عاملاً أو أكثر، لقاء أجر أياً كان نوعه. 

-الشهر: ثلاثون يوماً ما لم ينص على خلاف ذلك في عقد العمل أو في لائحة تنظيم العمل. 

-اللائحة: اللائحة التنفيذية لهذا النظام. 

 

 

 

 

 
 
 
 
 
 

 
3",2
